Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
OG x FaZe (★4/5),10/11/20,11:00,10/11/20,12:30,False,"https://www.twitch.tv/gaules
https://www.twitch.tv/esl_csgo

https://www.hltv.org//matches/2344382/og-vs-faze-iem-new-york-2020-europe",IEM New York 2020 Europe,False
100 Thieves x Liquid (★2/5),10/11/20,16:00,10/11/20,17:30,False,"https://www.twitch.tv/gaules
https://www.twitch.tv/esl_csgo

https://www.hltv.org//matches/2344427/100-thieves-vs-liquid-iem-new-york-2020-north-america",IEM New York 2020 North America,False
Triumph x New England Whalers (★1/5),10/11/20,16:00,10/11/20,17:30,False,"https://www.twitch.tv/gaules
https://www.twitch.tv/esl_csgo

https://www.hltv.org//matches/2344428/triumph-vs-new-england-whalers-iem-new-york-2020-north-america",IEM New York 2020 North America,False
TeamOne x Mythic (★1/5),10/11/20,19:30,10/11/20,21:00,False,"https://www.twitch.tv/gaules
https://www.twitch.tv/esl_csgo

https://www.hltv.org//matches/2344429/teamone-vs-mythic-iem-new-york-2020-north-america",IEM New York 2020 North America,False
Chaos x RBG (★1/5),10/11/20,19:30,10/11/20,21:00,False,"https://www.twitch.tv/gaules
https://www.twitch.tv/esl_csgo

https://www.hltv.org//matches/2344430/chaos-vs-rbg-iem-new-york-2020-north-america",IEM New York 2020 North America,False
Virtus.pro x K23 (★1/5),10/13/20,09:00,10/13/20,10:30,False,"https://www.twitch.tv/gaules
https://www.twitch.tv/esl_csgo

https://www.hltv.org//matches/2344389/virtuspro-vs-k23-iem-new-york-2020-cis",IEM New York 2020 CIS,False
Espada x forZe (★1/5),10/13/20,09:00,10/13/20,10:30,False,"https://www.twitch.tv/gaules
https://www.twitch.tv/esl_csgo

https://www.hltv.org//matches/2344390/espada-vs-forze-iem-new-york-2020-cis",IEM New York 2020 CIS,False
Natus Vincere x Cyber Legacy (★1/5),10/13/20,12:30,10/13/20,14:00,False,"https://www.twitch.tv/gaules
https://www.twitch.tv/esl_csgo

https://www.hltv.org//matches/2344391/natus-vincere-vs-cyber-legacy-iem-new-york-2020-cis",IEM New York 2020 CIS,False
Winstrike x ETHEREAL (★1/5),10/13/20,12:30,10/13/20,14:00,False,"https://www.twitch.tv/gaules
https://www.twitch.tv/esl_csgo

https://www.hltv.org//matches/2344392/winstrike-vs-ethereal-iem-new-york-2020-cis",IEM New York 2020 CIS,False
FURIA x New England Whalers (★1/5),10/13/20,16:00,10/13/20,17:30,False,"https://www.twitch.tv/gaules
https://www.twitch.tv/esl_csgo

https://www.hltv.org//matches/2344431/furia-vs-new-england-whalers-iem-new-york-2020-north-america",IEM New York 2020 North America,False
